genre,description
action,maxx yeager former navy seal commander clandestine organization known cloak seen downfall many governments sometimes contributing devastating loss wife debra maxx agrees one last mission retiring raise daughter pamela aid long time friend cia liaison mason turner maxx cloak team successfully eliminate terrorist forces rescue school young moroccan hostages fate would maxx last mission may denouement career instead force new operation entirely secret society stronger cloak looms maxx team giving ultimatum may lead glory collapse civilization know
thriller,woman found butchered new york apartment falls estranged husband executive suddenly left town cross country road trip takes along beautiful girl met bar drifter along way cop sets husband interested shaking bringing back
thriller,ching voluptuous widow whose thre short marriages ended husbands dying due unknown causes seek truth journalist befriends ching gradually becomes addicted mysterious ching foretell future finds stepping fatal trap ching dead husbands helpless anything stop
action,san francisco exotic pre chinatown place vicious hoodlum gangs held sway chinatown became cauldron chaos teeming thugs prostitutes gamblers warlords preying scores helpless victims tong wars ripped san francisco chinatown chinese inhabitants lived reign terror opium abundant slave girls women imported purpose prostitution hatchet wielding killers silenced opposition center man named little pete command english language incredible ability fight mixed charisma lack fear ran chinatown manipulated corrupt american politicians built criminal empire lurid violent chapter american history
thriller,ambitious metal worker charlie wins heart nurse melissa despite initial opposition doting adored father enterpriser ted brennan melissa break dad seeing kiss another woman charlie stops next charlie gains ted respect support proposing join business mates lattimer brothers ted wife murdered home police melissa come several theories
action,head security jefferson maxwell employ lady kathryn baroness long time multiple attempts life jefferson decides look cause discovers mystery jefferson looks reason behind assassination attempts kathryn fianc suggests hiring bodyguard
action,hee convinced give crime former crimelord serving time regrets past however hee finds keeping promise using violence becomes difficulth wife family threatened former comrades view traitor
thriller,bratislava czechoslovakia secret agent paul grumbach seems live paradise dollars make good living czechoslovakian secret service begins show acute interest suddenly middle intrigue confronted beautiful woman turns czech secret agent things complicated enough fall love paul smart enough survive deadly game
thriller,fbi agent parr going bad spell partner best friend retired wife left investigating robbery gun shop paramilitary gang parr new partner sinclaire find clues plot level entire city chicago main suspect recent vietnamese immigrant experience weapons researcher burning grudge man looking track late
horror,director jos mojica marins travels spend christmas friends small farm live write story next film however observes eerie things house friends possessed one one supernatural evil force sooner learns matriarch family made deal local witch malvina get pregnant save marriage return malvina indicate would marry girl however daughter wilma engaged beloved fianc malvina wants get married eugenio son satan jos mojica marins discovers fictional creation caix coffin joe ready collect souls wilma family exorcism may save doomed family jos mojica marins director horror films diabolical coffin joe spending christmas friends household members violently mad reason first grandpa hosts daughters one vilma get married mojica discovers vilma mother made pact witch order become pregnant vilma promising first born child satan impending marriage human stirring things supernatural seems like dream mojica enters bacchanal entranced vilma wed satan son master ceremonies none coffin joe mojica defeat creation save vilma
horror,four friends spend night abandoned drug rehab clinic hoping film paranormal experiences soon end fighting lives year old legacy comes haunt one involved would ever thought
horror,jonathon grant paranoid writer illustrator specializes works horror also suffers hellish nightmares delusions must convince everyone something seriously wrong wife paranoia sarah grant married jonathon six years marriage something happening something dark twisted vincent stone mysterious psychiatrist jonathon sees hopes stone help paranoia stone thinks jonathon wife affair jonathon thinks differently katrina women black appears jonathon river claims help jonathon jonathon sure dreaming real meanwhile woods behind house rash women murders town people claim see strange paranormal activity dark forest jonathon begins see evil finds chased haunted hooded killer jonathon paranoia getting worse women murdered forest jonathon wife good evil horrific things going around jonathon real jonathon must find along way hears evil voices sees creatures swimming river faces trees warn masked man continues chase
thriller,based true unsolved ecological mystery thousands hideously deformed frogs turned waters minnesota seen eyes one hit wonder single mother year old son small town struggles unknown deadly mutations move beyond ponds
action,novelist sami akl finalizing novel assassination minister energy story turns reality minister siham abou assi gets really assassinated reviving long forgotten litani river project sami siham love relation years ago sami gets accused crime fugitive
horror,four couples take short cut annual rock festival celebrate last day college start encounter strange things something happened previous year festival couples unaware one one things start happen unpleasant things music rock heads roll
action,young kenpo karate martial artist returns home ten years reform school quest find murdered father befriended old monk local irish beauty search takes prestigious bealtaine martial arts tournament together past good guy drawn conflict local drug baron son conflict makes young man face fathers death way could never imagined action explosive fight scenes dynamic story tug heartstrings
thriller,mother teen daughter believe last found safe refuge abusive husband father michael michael enraged escape anything find undergoing drastic plastic surgery assumes new unrecognizable identity hunt family begins
horror,lovable zany insane baron von laugho halloween loving clown bring three terrifying short tales celebrate wonderful night samhain special thought forever lost brought back due amazing find homemade vhs copy special first aired
thriller,lone soldier mans haunted colonial outpost beacon hill henry tasman becomes increasingly distracted meaningless chores visions dead wife daughter one dark day boatload menacing convict ghosts mysteriously appears lead chester biggs years later melanie young researcher obsessed finding truth hauntings recorded hery old journal ill fated ance ruins fort unearths darker secret anyone could possibly imagined
action,aika ayumi kinoshita sonny chiba legend seven monks woman mission destroy yakuza traumatic event past steeled resolve honed fighting ability deadly edge plans use weapons available beat yakuza gangs plague city aika motivation revenge burns brightly heart team members reasons less personal hien bushido man yoshiyuki yamaguchi game see whether become best soldier genichiro ohshita yakuza hunt satisfies obsession arms weapons momo rei toda element sexual conquest game share goal hien discovers information yakuza drug dealing territory target responsible soken products company shady chairman kato eisuke sasai although soken masquerading legitimate business fact one worst yakuza organizations japan also closely affiliated violent gang called black bullet pull worst soken criminal activities together team aika resolves infiltrate gang put end violence one team member life sacrificed effort rest must examine motivations modify tactics final assault
action,susana taiwanese wife korean scientist working robotics project kidnapped pro communist group working japan demand scientist research microchips hope send superiors north korea exchange susana life
action,wwf world intercontinental tag team titles steve austin triple kane undertaker wwf european title matt hardy eddy guererro christian wwf hardcore title rhyno raven minute submission match chris benoit kurt angle dutchess queensbury rules william regal chris jericho last man standing shane mcmahon big show factor dudley boyz spike dudley wwf title handicap match steve austin triple undertaker queen cup rules william regal chris jericho falls chris benoit kurt angle edge christian dudley boyz hardy boyz factor bradshaw big show dean malenko perry saturn hardcore crash holly eddy guererro grandmaster sexay
thriller,respected police commissioner reputation fervent opera lover night also enjoys plunging transvestite scene addition harbors longing sister learns wife murdered tries implicate set designer designs sister
horror,inhabitants fishing island coast maine find mysteriously cut outside world ferry suddenly stops coming phones gone dead every boat sent mainland fails return dead bodies turn along water edge hardy band survivors must find killing
action,long thought purified zordon energy wave end power rangers space dastardly lord zedd reappeared old form concealed hidden dimension interfering time stream trying alter course history destroy every power ranger throughout time operating halls legends new omega ranger must gather force power rangers artifacts across time break lord zedd hidden dimension restore timeline nintendo emperor grumm set sights upon myth hall legends resting place collected energies power rangers across time twisted mind envisioned world enemy power stolen used make living god creation omega ranger aware timelines within hall legends discovers plan warns power rangers stand hall legends fall grumm hands would lost
horror,upstate new york bad boy jason wayward girlfriend tanzy lead life hardcore clubbing low level drug dealing jason meets sexy bartender babefist becomes trapped dark underworld mind games terror twisted psycho sexual voyage heart evil unflinching movie never leave
thriller,deadly virus unleashed fictional nation mendona bioterrorism expert alex papoulia michael booth must face threat disease death also sceptical workers unprepared system operates
action,wakes without recollection upon escape hell woke faces punishment ever must find truth time find way stay alive soon finds solution might problem
action,inspector gaetan son got killed tries find killer luc riccardo two small timer scam artist get caught middle investigation involved jean louis dangerous mobster
action,storyline scooby doo monsters unleashed game boy advance matches movie plot characteristic scooby humor varied gameplay coolsville criminology museum grand opening pterodactyl ghost escapes monster costumes tow vows revenge upon mystery solving teens
horror,two young women involved hit run way meet friends cabin initially thinking got away crime soon find something else awaits upon arrival become convinced punishment always fit crime
horror,fion patrick brien uses hereditary psychic abilities along unknown mystical drug smokes help solve crimes current case involves vampire couple responsible series murders city slums soon joined isobel mariel mcallan mysterious young woman seems personal stake wanting defeat vampire couple
thriller,rajeeva jai jagadish nri working gulf comes hometown mangalore annual leave rajeeva invested small commercial property next house let shopkeepers except one shop lies vacant holiday meets friends every evening inside vacant shop bond every night drinks one evening damu mitra auto rickshaw driver friend rajeeva locks bangari anita bhat sex worker along rajeeva inside vacant shop promising unlock shop shutter spend time together inside locked shop meanwhile damu meets one passenger vijay shashikanth film director forgotten bag damu auto rickshaw morning vijay knowing would get bag back celebrates offering couple drinks damu eventually damu way back locked shop gets trouble cops fails return night open shutter promised rajeeva rajeeva bangari spend couple nights together inside locked shutter waiting damu return unlock rest narrative revolves around embarrassing plight two inside shutter lives damu vijay outside
action,former marine logan walker villagomez tries unravel mystery behind parents death teams cia agent natasha grace caldera decrypts file confidential information reveals existence secret government organization plans take world brainwashing everyone social media politics religion believing organization responsible walker parents grace partner death two risks lives journey expose organization stop villains caught killed
horror,brad masters enters contest wins album favorite band time living corpse tape special song called zombiefied turns brad friends zombies party luckily brad girlfriend angel misses party save friends runs shengar lead singer living corpse ruler dead world attempts stop angel angel escape teams friend tommy learns way stop zombies angel tommy limited time figure reverse zombie curse save friends dmz known strangely original story
action,two university students killed london terrorist attack one wealthy parent seeks revenge three perpetrators another parent powerful man seeks revenge nation cia must stop catastrophe happen
horror,mary life disintegrating verge losing everything desperately needs income survive driven extremes responds add paper embarks series home based drug tests horribly wrong follows world drug induced madness surreal sensuality mary falls prey underground world pharmaceutical testing revealing evil undertones anybody would dare imagine monitored suffers humiliating onslaught psychedelic depravity physical mental mary experiment explore warped psychological world human sickness stark reminder society created
action,scientist invents poison gas villain gang anything get formula hero lightning hutch sent save scientist scientist beautiful daughter formula
thriller,convicted robber lead villain loses wife child sentenced prison away meets another crook mentions job worked fellow thief ended monumental score also jail time pair second man hid money home wife teen aged daughter sent separate facility first two men including lead villain learns money whereabouts escapes prison head family farmhouse arrives masks identity family gaining trust soon find true reason behind arrival story turns fight survival mother daughter escaped prisoner
action,two finest cochese hard boiled detective made rugged realities unseasoned bobby rookie investigate drum machine murders detective duo hot pursuit psycho killer targets members underground bands los angeles brutally murders helpless victims replaces hearts drum machines bent tracking madman cochese bobby put line
thriller,trip store turns surreal nightmare college student kidnapped deranged dysfunctional family audra west finds trapped middle desert betrothed adam youngest son murderous clan determined detective conducts frantic search audra realizes way survive escape even could get away almost two hundred miles desert lies help
action,julius young man eyes set becoming famous deejay like bob marley desperate chance music career julius agrees become drug mule jamaican crime lord crown henchman gargon exchange passport visa trying straight julius still struggling excepts job hit man drug lord biggs long finds immersed world crime caught war jamaican gangs gangs without hope escape
horror,miguel nunez aka juwanna mann lia savini daughter horror legend tom savini ghost hunt first time locked overnight haunted broughton school join celebrity lockdown crew includes actor director anthony colliano actor producer matthew bonacci john spina watch team investigates overnight various ghost hunting equipment
horror,five urban explorers enter abandoned brewery film latest episode web series disturb final resting place group artists called home paranoia mistrust spread amongst group malevolent spirits begin play games cat mouse evening fun become nightmare friendship loyalty tested fight escape survive night inside brew house
action,gia viktor new america ways victims men women punish cruelty meet however find strength together gia viktor find way happiness easy
horror,six people brought together funeral childhood friend settling estate discover map leads search long forgotten time capsule request dead friend discover reawakens repressed childhood traumas leads journey long abandoned childhood home home terrible secret mysterious dead girl lead strange fates six friends reunite years mutual childhood friend funeral search deceased friend house reveals map trunk map spurs friends find dig uncovering trunk unexpected found rotted remains child child past long forgotten child begins haunt every waking moment makes question really closer come remembering circumstances mysterious child death closer come reckoning large number children submitted behavior studies south usa brax young dies childhood friends jennifer jones gina conte father lyle dey wayne morrison brent sykes beth patterson reunite twenty years brax house discover letter asking search time capsule childhood map indicating location travel entonsburg find trunk objects skeleton hidden inside discovery triggers traumatic recollections childhood tragic consequences
horror,group history students promised reward find ancient tools legendary blacksmith one eyed earl murdered townspeople remote rustic village legend says ghost still stalks haunted grounds
horror,group teenagers decide take vacation beach house one fathers kid whose father owns house happened accidentally kill mother child get house father mysteriously disappeared hmmm child cleaning father hunting rifles part surprise birthday treat old man one firearm accidentally discharges fatally striking mother back father jack came home saw wife dead blaming offspring tried commit infanticide managed escape father murderous antics leaving old man sleep mournful psychosis began pouring whiskey slain wife throat teens returns back family home dad long since supposedly vanished waiting chance even score kid right
horror,group teen agers vacationing take boat seemingly deserted island soon find however island inhabited wealthy recluse staff host initially hospitable quickly reveals true purpose hunt kill visitors done everyone unlucky enough set foot island
thriller,mysterious new priest comes town stay fellow men cloth erik estrada jan michael vincent little know ferocious father possesses extraordinary martial arts skill crucifix blades gold handgun cross handle soon bad neighborhood priest begins cleaning local drug dealing scum bags meets lunatic stroud confessional stroud claims bloodsucking skull stealing vampire serial killer ravaging city priest encounters young lass visions stroud committing dastardly deeds vampire kidnaps priest speaks words open gates hell right hand god sets towards deadliest encounter yet
thriller,dim cluttered laboratory michael sieggombe single father professor biology lectures class cancer cell aging mood somber lately since students learned professor condition consumed disease spent latter part life studying soon two mysterious contradicting characters emerge turn world upside shown path allow beat cancer cheat death become gilgamesh fantastic tale intertwining modern science classic mythology passion lust immortality psychological thriller audiences edge seats provoking eternal questions would save life would immortality
action,tessa ordinary secretary working advertising firm except boyfriend scott legendary vigilante thing stopping run city descending chaos scott embroiled feud elite terrorist organization want control media outlets city although tessa original priority protecting boyfriend double life soon plunges danger tessa finds frightening violent world navigate without must learn survive become legend city needs
thriller,strangers wake chained table somewhere find must play twisted game russian roulette survive game unfolds quickly learn strangers gets eliminated crucial
thriller,newly engaged margareta hellman going together husband family estate hellesta meet closest relatives finds husbands wife died mysterious circumstances decides investigate happened soon strange gloomy things starts happen way gun died
thriller,serial killer roams city milan italy using scissors assassinate kill top models park ranger usa arrives city protect sister realizes vanished starts searching meeting lot people getting know sometimes dangerous world international jet set soon killer search
action,aging american cia operative travels budapest uncover conspiracy within agency targeted assassin turns daughter together discover depth scheme make personal matter avenging broken family
thriller,jane car breaks makes way nearby estate owned mysterious man named caligari soon finds become virtual prisoner none strange inhabitants estate willing capable helping escape caligari reveals passive pervert showing filthy spying trying make talk intimate details life attempts free means disposal
thriller,womanizing reality producer spencer unwittingly sleeps mysterious woman alison turns stalker alison kidnaps spencer holds hostage humiliates abuses recording every moment camera twisted reality show
horror,based best selling novel small country australian town dainsfield labels year old ebony black demonically cursed three friends die tragic accidents date school formal ends intensive care black must prove innocence witch hunt takes
horror,killer loose taking prostitutes mutilating bodies detectives coming viable suspects two prostitute roommates odds fast downward spiral begins enter lives
horror,original game posted obscure horror corner features walking monochromatic corridors various audio samples played looped audio game leans heavily recordings interviews various murderers charles manson game also depends heavily distorted reversed audio interviews musical clips player controls character hallways images may intermittently display taking entire screen preventing player progressing image automatically closes seconds later images seem reference child abuse especially people indicted operation yewtree images jimmy savile rolf harris images include people convicted accused murder japanese murderer tsutomu miyazaki political figures former prime minister margaret thatcher characters game children simply stand one place move interact player final video posted obscure horror corner one children begin follow player causing contact damage player since player means self defense ability heal damage player inevitably die point game
horror,writer accepts bet spend night alone haunted castle soul eve night falls castle several murdered therein return life reliving deaths seeking kill writer blood vain attempt stay alive beyond one night barbara steele one living dead tries aid escape castle
action,homage action films early cherry bomb follows young dancer quest revenge group men brutally assaulted seeing justice coming within system cherry enlists help estranged older brother heavy firepower two siblings set reckless revenge mission things start spiral control mysterious hit man named bull hired put end cherry bloody tirade soon realizes stake ever imagined starring julin jean nick manning denise williamson john gabriel rodriquez
horror,creepy crawl entertainment begins series crawlspace tribute frankenstein legend short films music video performances pain blak graveyard tree featured collection written directed dusty fleischman three shorts show different side man created monster three different settings including epic battle legendary wolf man
action,techniques shaolin many varied one thing common move lesson death superstar pai ying hands stone heart steel uses famed shaolin movements wipe opponents world exclusive masterpiece
action,saving grandmother claws wolf army evil everything seemed gone back normal nothing reality recent tragic death combat woodman invasion leper zombies endangers peace world story begins invasion fairy tale land hordes ravenous zombies stop anything succulent legs ham three little pigs sawdust brain pinocchio tasty morsels living dead grotesque aberrations plague enchanted forests prince charming wakes sleeping beauties real love bites ferocious wolves die attack abandoned little girls one heroine stop babbling army name red little red riding hood armed dangerous
thriller,upon time city boceno coming writer ecila finds curiosity spiraling control plunging midst unique visual world ignoring advice flee city boceno ecila trails peculiar pink moped twisted road creased slew masquerading characters omnipresent danger inks ecila pages wonderland adventure
thriller,demonic possession delirium either way alex murphey jacqueline lovell suffers desperate attempt seek closure husband death alex travels seas amsterdam baby ashley hopes finding tranquility brother wolf edward nyahay traveling monk crosses paths alex shrine lady nations god mysticism manifests forcing alex confront demons
horror,bob berdella originated ohio moved kansas city enroll art institute shortly move kansas city berdella purchased house charlotte ave house would serve grounds bizarre acts torture mutilation ever performed bob berdella active local community charge hyde park neighborhood coalition many years cook many restaurants even worked local news stations organizing numerous charities auctions berdella also notable work mentoring troubled youths even assigned probation officer many teens end bob known shop westport flea market bob bazaar bizarre shop many people met interacted berdella shop setup like normal flea market taste goods different rest merchants westport flea market bob real human skulls witchcraft occult books jewelry knives swords practically anything would classified bizarre berdella arrest known keeping precise notes torture killing methods investigators found notebooks mattress polaroid taken victims various stages torture evidence overwhelming bob eventually admitted murders years
horror,poor artist gets eye gouged committing robbery eye heals goes killing spree cuts women eyes spoon
action,upon arrival new british ambassador argentina vice president holding welcome lavish banquet honor group terrorist take argentine parliament avenge old crime committed falklands war dubious past somber man brought back live forced fatherless son dealing burden years finally meet assassin father
horror,film students disappeared traveling burkittsville maryland try capture footage blair witch years heather donahue mike williams joshua leonard supposedly disappeared attempt create documentary titled blair witch project footage left behind
horror,john sarah happy marriage two wonderful children beautiful house neighborhood truly living american dream sun sets new home unknown terror steps shadows sarah missing mysterious caller eyes set children neighbor knows admit safety family stake john propels chaotic spiral violence blood may never return protect loves
horror,shot video homage mondo movies archeology student joins forces roguish trader follow ancient mayan treasure map search gold encounter harsh jungle conditions danger beyond wildest dreams
action,police inspector krishan kumar lives middle class life lovely wife suman suman gets pregnant gives birth baby girl tragically passes away leaving krishan widowed heart broken devastated krishan also encounters tumor presently inoperable may eventually lead death large number city children missing krishan together inspector avtaar assigned investigate matter also asked investigate murder fellow police inspector vishnu sawant krishan investigation leads corruption department involvement prominent minister government daughter inspector sawant faced failing health vision krishan must make move quickly becomes totally disabled police work
action,near future mercenary thriller high tech future spiraling control young mercenary tragic past finds caught dueling mega corporations made world wars world ready soldiers like
action,athens present day crippled greece economic crisis city faces one worst crime waves europe gangs armed men pour country take advantage chaos series violent robberies rocks greece core combat crime wave new police motorbike unit launched called dias specialty deploy four heavily armed officers crime scene one minute theo young athenian lost job decides join thrilled chase wanting make difference quickly thrown whirlwind action violence becomes pivotal player unit yet new arrest enraged gangs plan series even deadlier crimes push dias breaking point dias becomes target film inspired real dias motorbike unit patrols streets athens since
thriller,luck insurance salesman life spirals control fired job discovers wife affair follows mind bending road trip madness mayhem redemption strange encounter alien creature
thriller,harvey keitel plays penfield gruber great scientist reduced managing sleazy hotel gruber monitors daily comings goings tenants mainly interest underworld figures ask spy suspected double crosser watching man gruber overhears murder plot
thriller,padoue found emma credit card used industrial area atm goes olivier find evidence decide research hotel nearby hope nightwatchman inform
thriller,acclaimed underground filmmaker pete anderson delivers compelling psychological story wade twisted video voyeur dark secret sad story unfolds creeps window window searching victims meets angela demented reality fully uncovered complex layers exposed leading shocking climax poignant statements society live searching looking watched know
thriller,ferocious storm approaches town emeryville residents warned crazed serial killer carves number victim chests loose local television news repeatedly screens information killer loose meanwhile lives put danger woman allows salesman security maintenance personnel house emeryville dwellers frightened serial killer carves number thirteen victims stormy afternoon sarah school counselor allows real state agent andrew byrd stay inside house waiting ride andrew disputing custody daughter samara shows signs unbalanced man conversation sarah security system agent john denton arrives house maintenance alarm system sarah feels secure however mark found one room sarah realizes danger
horror,everyone love camping woods usually calm relaxing getaway five friends perfect way send one amongst partying debauchery comes something much sick depraved five friends find hunted unknown killers woods working fall one one survive next three days woods mad angel films wicked six productions show glimpse evil lie within innocuous directed matthew peters written mark joseph peek three days woods shock disgust promise
horror,strange case jekyll hyde really much story gabriel john utterson lawyer good friend henry jekyll importantly utterson victorian gentleman guided chivalry like code remain loyal friends maintain status society loyalty drives utterson play detective effort protect jekyll malicious scheming hyde eventually utterson finds introduced world neither ready enter accept story takes place victorian era england industrial revolution utterson lawyer true victorian gentleman discovers long time friend henry jekyll become involved mysterious dangerous man named edward hyde jekyll tall handsome man high social status expected maintain hyde complete opposite short vulgar unidentifiable deformity utterson knows jekyll youth bit wild may skeletons hiding closet therefore suspects hyde must blackmailing jekyll result long past wrong utterson worries deeply secret come surface jekyll reputation would stake however much risk utterson realizes jekyll begins grow sickly becomes reclusive another friend experiences unknown shock jekyll hands ultimately resulting death murder hyde becomes criminal run unknown hold jekyll apparently anything help hyde utterson continues delve deeper dark dangerous world edward hyde comes realize friend henry jekyll hiding deep dark secret truth reveals abomination science nature utterson given final choice must choose life lawyer laws england choose life friend victorian gentleman willing sacrifice anything save friend reputation
action,jim west former navy seal left service returned childhood hometown oxnard california work private detective security expert missing person case leads underground knife fighting stick fighting tournament death run mysterious dragon lady losers harvested organs remains sold restaurant time home west runs fianc left alter military fourteen years ago may mystery
horror,fall five college students enter local state park film investigate documentary several mutilated bodies discovered park authorities assume deceased victims animal attack believing something sinister work five students launched investigation discover truth behind attacks never seen
horror,eight years removed mass murder investigation female chicago homicide detective uncovers evidence could prove innocence man executed true killer begins brand new wave mayhem terror
action,brother brother brody twin last war wonderful nancy begins win hubert zayneb try convince nancy leave forever brody final third film history brody everyone every everyone
horror,family source evil aspiring horror film traces descent texas chainsaw massacre gore atmospheric hammer films chiyo old woman granddaughter yuki sole survivors horrendous crime wipes entire family find solace roof far removed relatives family son confined wheelchair terrible premonition two women arrive verified horrifying way house empty boy made suffer sadistic games women mercy become violent making life living hell
thriller,toby ambitious young lawyer gets wrong boat serves papers man deadly vendetta father kidnaps takes middle ocean deliberating options meanwhile father must sort happened daughter save late
horror,ambushing drug dealer detective eddie boone james black injected fight dealer new drug called ozone transforms users powerful zombies partner friend mike weitz tom hoover kidnapped group ozone addicted eddie tries find mike streets fighting zombies several hallucinations due effect drug blood
horror,universal cryogenics booming business freezing bodies recently dead hopes defrosting later science discovered way cure ails things going well storage facility loses power storm threatening frozen clients make matters worse lightning strike causes bodies revive homicidal zombies cryogenic lab customers cause kind change stop zombies rampage goes control
horror,evil origins come everyday world group inmates inside special government detention center discover five fellow detainees anything normal four men one woman possess powers abilities challenge reality parameters true terror plan escape becomes fight survival inmates learn true identities five strangers seemed align far bigger horrific plans simple escape
thriller,paul slater saxophone player runs former lover nightclub buenos aires tricia seduces paul helping kill wealthy underworld husband paul trapped love law gripping noir ending
thriller,hailey read manhattan based therapist two years left previous job assistant perfect conviction rate atlanta largely last case curtis burrell cruise failed artist convicted serial murderer killed seven women strangled posed post mortem resemble famous paintings upon guilty verdict announcement cruise tried strangle hailey courtroom event still haunts still taking anti anxiety prescription medication hoping memory cruise soon dissipate imminent execution within month however anxiety increases series murders begin occur new york resemble cruise personal connections eventually learns second hand sources cruise longer death row quietly released days ago pending retrial certain cruise perpetrator new murders working way process hailey using skills therapist lawyer may discover behind scenes forces working
thriller,war correspondent connie burns kidnapped tortured mercenary baghdad flees remote australian town refuge shuns world mercenary tracks threatening lives loves must face tormentor one final time
thriller,lake motel film twisted individual obsession death matt olivia date drugged hallucinogens completely love unfortunately fall victim lake motel psychopath months later massive storm blocks main highway debris everyone forced take detour old route weather becomes critical lives people still road risk groups manage find shelter lake motel
horror,young man get fresh date father preacher goes insane severs young man hand chainsaw sever limb understandably bitter whole affair spend eternity stalking killing every living human encounters
horror,thai english subtitles another bloody fun entry rahtree franchise one thailand popular horror series time local police alerted whereabouts notorious gangster everybody leery entering particular apartment haunted several ghosts including buppha rahtree savage knife wielding mini buppha
thriller,four horror stories occur sequence connected time space first deals writer wife move large house find already occupied second follows three college couples weekend camping trip tall tales legends real fiction third segment follows crew prepare taping hit show world haunted places final story hack psychic discovers practice really make perfect
action,flushy fish story fearless prince turned fish faraway golden star galaxy lived happy kingdom caroba ruled king bubbles queen barbara newborn child prince flushy shadows golden star came witch king norman wanted enslave caroba take magical golden stars defeat caroba norman turned prince flushy fish sent deepest place world could never find way back home monstrous forces reclaimed caroba invaded land ready take rest world mayhem one last hope trinity explosive fairy could find flushy guide back home save kingdom trinity never gave searched flushy years fintroducing flushy fish squidding around play flushy fearless prince turned fish join resistance carouba take evil witch king norman collect golden stars unlock worlds chapters bosses collect coins get extra life exclusively designed daydream comfortable experience rating everybody use controller touchpad move camera shoot main button income used make game better thanks support
horror,something diabolical taking place set task new reality show players complete terrifying missions within confines abandoned prison hoping win hefty cash prize six young students explore new environment malicious spirits make presence known gruesome ways imaginable unable escape labyrinthine prison contestants become unwitting pawns caught centre blood soaked night terror seven youngsters abducted streets brought abandoned prison van learn selected participate reality show promoted ambitious producer connie salomon one gives gay randall nerd toni blonde shoe strong dixon siblings stanton angel accept invitation expecting receive six contestants also learn former warden killed eighty five inmates many years ago assigned accomplish tasks explore fear one confessed interview however warden attacks duringthe night connie following contestants cameras feels something wrong team believes warden joke senior management show
thriller,cosmetic surgery zhong poor waitress high end club yearning fancy life afford soon removes medical gauze zhong realizes face completely changed become doppelganger lou xiaoqian china top star lies ahead stardom always wanted expect horror discovering lou spy taken place controlled secret organization forced execute dangerous missions many times escape death one turn except
thriller,sergeant first class stephen harris edited uploaded film message world group teenagers sent unlabeled dvd army base afghanistan containing video strange woman tied tree ends clue teens follow clue another yet another started game becomes terrifying chase psychopathic mind harris end line teens world comes full circle discover playing game pawns revenge plot master war could devise
thriller,teenager cami winters falls love falls hard single mother tori idea cami fallen love boy named jake met social networking website although cami believes jake year old college student everything told online lie
horror,march south florida beach towns flush young people looking action excitement one unlucky group thrill seeking spring breakers adventure leads black waters florida everglades place mosquitoes size birds snakes long school busses tens thousands flesh ripping alligators beyond scope traditional predators famous keeping glades wild another phenomenon one two legs insatiable thirst killing
horror,lisa templeton begins new job cleaner high hopes hospital mental institution amityville long island initially delighted get job lisa soon realises seems intimidated staff psychotic ramblings patients unnerved apparent supernatural occurrences night shift preserve sanity lisa must uncover mysterious history institution inmates truth far terrifying could ever imagine
thriller,members group hackers willing fight system messages attacks political socially demmanding also playful reasons moved virtual side real life however sudden implication authorities pressed goverment tougher hackers wise dangerous cracker cause turn crusade use enemy means ideological motivations imply respect law human life
action,plot outlined young man always bull riding finds troublesome time life getting discouraged able focus trying accomplish self proclaimed divine intervention bull rider meets group surfers teach surf get mind things focus original feeling growing began bull riding fun time learning surf ending agree must trust god plan faith jesus order gain inner peace able focus career attention given bull rider journey regain focus embrace faith become better
thriller,young teen takes life years relentless bullying family chooses pursue justice authorities school take action seeking revenge must decide value life determine true victims
action,burned bodyguard hired protect man hates international assassin destroyed career ruined life forced put personal feelings hold bodyguard must use skills years experience keep assassin alive face constant danger
action,lalu seth gangster carries nefarious activities without fear police one day men cross paths young man named gautam hiraskar violent confrontation ensues lalu seth decides teach gautam lesson entraps never ending web deceit deception results gautam running life lalu seth hoodlum also police
thriller,one fine day tristan rochester meets trisha reynolds coffee shop chemistry instantaneous suave charming interested every facet trisha life tristan smitten core first date people pleaser trisha sees sparks fly relationship slowly progresses however tristan comes fire matt trisha jealous husband father trisha young son landon tristan also takes liking despite best efforts everyone around testosterone infused work buddy jeff worried sister maggie tristan remains loyal love even trisha seemingly sways emotionally physically towards matt time comes tristan makes mind propose finally free trisha everything finally seems right world landon returns home visit dad place finds tristan alone house mother nowhere found fateful moment turns everything knew tristan trisha matt complex triangle upside flashbacks minds numerous characters fill gaps forced confront twisted truth much tristan trisha really loved much really trusted seen heard felt
action,gangsta rappers jealous success hot local hip hop record label mad label head sign plot robbery label heads office steal money surprise label head finds committed robbery hidden surveillance camera attempt get evidence tape back gangster rappers surround label heads home taking girlfriend hostage trapping everyone else inside two hour deadline way hostages inside home decide devise way make copy tape end stand
action,june volition released trailer next entry saints row universe agents mayhem game takes place events saints row gat hell futuristic setting cinematic announcement trailer shows persephone brimstone character featured end gat hell leading new group saints known ultor corporation payroll agents mayhem set release
horror,film horror film based bram stoker famous novel dracula set south india film shows arrival dracula series deaths thereafter secret dracula opens mantriks set search destroy succeed endeavor forms story film
horror,supernatural horror legend soul eater young magazine journalist assigned write column childhood fears things bump night gets caught legacy real demon forced face dark forces face face halloween evil among one safe soul taste
